x,y,z,radius
43,20.5,43.5,10.37
43,20.5,20.5,10.37
21,42.5,20.5,10.37
21.5,21.5,21.5,10.1436
43.5,43.5,43.5,9.87
43.5,22.5,20.5,9.87
43.5,20.5,22.5,9.87
40.5,20.5,20.5,9.87
24.5,20.5,20.5,9.87
20.5,43.5,22.5,9.87
20.5,42.5,43.5,9.87
20.5,40.5,20.5,9.87
20.5,24.5,20.5,9.87
20.5,20.5,24.5,9.87
23.5,43.5,20.5,9.414
20,38.5,44.5,9.37
44,19.5,28.5,9.37
27,44.5,44.5,9.37
20,34.5,19.5,9.37
20,32.5,19.5,9.37
20,30.5,19.5,9.37
20,19.5,32.5,9.37
20,19.5,30.5,9.37
38.5,19.5,44.5,8.87
44.5,44.5,37.5,8.87
44.5,37.5,44.5,8.87
44.5,26.5,44.5,8.87
44.5,19.5,35.5,8.87
37.5,44.5,44.5,8.87
34.5,19.5,19.5,8.87
32.5,19.5,19.5,8.87
30.5,19.5,19.5,8.87
19.5,44.5,35.5,8.87
19.5,44.5,28.5,8.87
39,25.5,18.5,8.37
18.5,35.5,41.5,7.87
45.5,32.5,43.5,7.87
45.5,31.5,45.5,7.87
45.5,24.5,39.5,7.87
43.5,32.5,45.5,7.87
35.5,18.5,41.5,7.87
32.5,45.5,45.5,7.87
32.5,45.5,43.5,7.87
32.5,43.5,45.5,7.87
25.5,39.5,18.5,7.87
18.5,23.5,34.5,7.87
40,46.5,32.5,7.37
40,31.5,46.5,7.37
37,46.5,38.5,7.37
37,38.5,46.5,7.37
26,36.5,46.5,7.37
25,46.5,31.5,7.37
36,17.5,34.5,7.37
36,17.5,32.5,7.37
29,30.5,17.5,7.37
28,17.5,36.5,7.37
29,17.5,34.5,7.37
29,17.5,30.5,7.37
36.5,25.5,46.5,6.87
46.5,40.5,32.5,6.87
46.5,37.5,38.5,6.87
46.5,31.5,40.5,6.87
46.5,29.5,39.5,6.87
46.5,24.5,32.5,6.87
32.5,46.5,40.5,6.87
32.5,40.5,46.5,6.87
25.5,46.5,35.5,6.87
35.5,17.5,30.5,6.87
34.5,17.5,35.5,6.87
34.5,17.5,28.5,6.87
32.5,27.5,17.5,6.87
32.5,17.5,36.5,6.87
32.5,17.5,27.5,6.87
30.5,28.5,17.5,6.87
30.5,17.5,36.5,6.87
30.5,17.5,28.5,6.87
27.5,32.5,17.5,6.87
27.5,17.5,32.5,6.87
17.5,36.5,34.5,6.87
17.5,36.5,32.5,6.87
17.5,35.5,30.5,6.87
17.5,34.5,35.5,6.87
17.5,34.5,28.5,6.87
17.5,32.5,36.5,6.87
17.5,32.5,27.5,6.87
17.5,30.5,37.5,6.87
17.5,30.5,35.5,6.87
17.5,30.5,28.5,6.87
17.5,28.5,36.5,6.87
17.5,28.5,34.5,6.87
17.5,28.5,30.5,6.87
17.5,27.5,32.5,6.87
28.5,34.5,17.5,6.78608
33.5,29.5,17.5,6.61456
46.5,29.5,25.5,6.61456
29.5,46.5,25.5,6.61456
33,31.5,47.5,6.37
47.5,33.5,32.5,5.87
47.5,33.5,30.5,5.87
47.5,31.5,33.5,5.87
47.5,31.5,31.5,5.87
33.5,47.5,32.5,5.87
33.5,47.5,30.5,5.87
33.5,33.5,47.5,5.87
31.5,47.5,33.5,5.87
31.5,47.5,31.5,5.87
31.5,32.5,47.5,5.87
47.5,34.5,28.5,5.76898
34.5,47.5,28.5,5.76898
47.5,47.5,31.5,5.76898
15.5,15.5,38.5,4.87
31.5,23.5,42.5,4.47555
34.5,34.5,20.5,3.87
25.5,24.5,39.5,3.87
23.5,26.5,39.5,3.87
43.5,35.5,26.5,3.69843
35.5,43.5,26.5,3.69843
27.5,29.5,43.5,3.69843
40,40.5,27.5,3.60607
50.5,50.5,27.5,2.87
13.5,13.5,42.5,2.87
